product,mass_kg,material_id,countryMaking,impact_ecs
jupe,0.65,ei-pa,FR,4787.247763228861
chemise,0.0673805342663086,ei-coton,RLA,807.1731248941592
pull,0.69,ei-viscose,REE,4971.043938238644
slip,0.04,ei-laine-nouvelle-filiere,REO,359.8085977394015
slip,0.15,ei-viscose,TR,1247.957936197054
manteau,2.4,ei-pet,KH,17973.498850185846
slip,0.13,ei-lin,ROC,1189.286571440986
jean,0.7983288251558525,ei-laine-par-defaut,RNA,12332.581862394583
chaussettes,0.05,ei-pa,PK,352.5146856423173
tshirt,0.36,elasthane,BD,3494.2412379966368
slip,0.03,ei-pet-r,PK,257.9743217156324
chaussettes,0.17,ei-laine-par-defaut,RAF,2022.65558484078
chemise,0.1072023329724947,coton-rdpc,PK,862.9745801625021
jean,1.1266627655189838,ei-viscose,RAF,9999.329480085778
pull,1.32,ei-pa,FR,9173.318233124084
chaussettes,0.17,ei-pa,REO,1092.3660256342462
manteau,3.1,ei-chanvre,RAS,23896.65232362437
chemise,0.1655355041543526,elasthane,RAF,1565.1540590689383
pull,0.1,ei-pet-r,RNA,718.5886896902965
maillot-de-bain,0.1,ei-pp,CN,698.3933626742147
slip,0.14,coton-rdp,CN,1190.0663579547574
chemise,0.0573056925138123,ei-jute-kenaf,RNA,585.6079132934259
maillot-de-bain,0.07,ei-coton-organic,PK,562.3024374779825
pantalon,1.16,elasthane,MM,11248.890551231496
jean,1.1937409506416716,ei-pet,CN,10017.50952590225
pull,0.65,ei-pp,FR,4048.6680520331984
maillot-de-bain,0.38,ei-pet-r,KH,2636.213660847921
calecon,0.15,ei-viscose,RNA,1464.3323569740764
tshirt,0.32,ei-viscose,RLA,2758.58004706718
manteau,1.4,ei-acrylique,RLA,11012.276571252933
pull,1.17,ei-lin,FR,7669.384783469962
manteau,2.63,coton-rdpc,CN,19797.671149335507
jupe,0.14,ei-chanvre,CN,1164.0970283135584
pantalon,1.04,coton-rdpc,MA,7906.0495910847585
pull,1.04,ei-pa,REE,7251.198576058554
calecon,0.19,coton-rdpc,BD,1753.5852312291618
slip,0.12,ei-pp,RME,920.4260842877673
pull,1.32,ei-jute-kenaf,BD,11940.756847216904
calecon,0.17,ei-jute-kenaf,RME,1791.8585760484118
jupe,0.36,ei-coton-organic,---,3185.1077387721166
pantalon,0.55,ei-laine-par-defaut,RME,7955.894592826744
pantalon,0.38,ei-coton-organic,RAF,3468.249521881804
maillot-de-bain,0.33,ei-pet,TR,2080.8713775594138
