product,mass_kg,material_id,material_share,countryMaking,impact_ecs
calecon,0.12,coton-rdpc,1,---,1137.9592778282522
calecon,0.13,coton-rdpc,1,---,1227.781590972305
calecon,0.11,coton-rdpc,1,---,1048.1806418320948
calecon,0.04,coton-rdpc,1,---,419.59915841530574
calecon,0.17,coton-rdpc,1,---,1586.93981210483
calecon,0.07,coton-rdpc,1,---,688.9787435516735
calecon,0.11,coton-rdpc,1,---,1048.1806418320948
calecon,0.11,coton-rdpc,1,---,1048.1806418320948
calecon,0.09,coton-rdpc,1,---,868.579692691884
calecon,0.12,coton-rdpc,1,---,1137.9592778282522
calecon,0.18,coton-rdp,1,---,1665.039937591894
calecon,0.13,coton-rdp,1,---,1219.3471111601818
calecon,0.1,coton-rdp,1,---,951.9139444419966
calecon,0.05,coton-rdp,1,---,506.1774408623887
calecon,0.11,coton-rdp,1,---,1041.0437742987597
calecon,0.12,coton-rdp,1,---,1130.173604155523
calecon,0.12,coton-rdp,1,---,1130.173604155523
calecon,0.14,coton-rdp,1,---,1308.4769410169454
calecon,0.08,coton-rdp,1,---,773.6106075805742
calecon,0.09,coton-rdp,1,---,862.7404374373372
calecon,0.1,ei-chanvre,1,---,988.3515471718416
calecon,0.12,ei-chanvre,1,---,1173.898727431337
calecon,0.18,ei-chanvre,1,---,1730.627622505615
calecon,0.14,ei-chanvre,1,---,1359.4895848387282
calecon,0.12,ei-chanvre,1,---,1173.898727431337
calecon,0.19,ei-chanvre,1,---,1823.4448897832588
calecon,0.08,ei-chanvre,1,---,802.76068976445
calecon,0.08,ei-chanvre,1,---,802.76068976445
calecon,0.19,ei-chanvre,1,---,1823.4448897832588
calecon,0.12,ei-chanvre,1,---,1173.898727431337
calecon,0.13,ei-coton,1,---,1703.5901879676417
calecon,0.08,ei-coton,1,---,1071.6063471543953
calecon,0.14,ei-coton,1,---,1829.969485271133
calecon,0.07,ei-coton,1,---,945.1833727030088
calecon,0.1,ei-coton,1,---,1324.4086189092734
calecon,0.19,ei-coton,1,---,2461.953326084379
calecon,0.1,ei-coton,1,---,1324.4086189092734
calecon,0.05,ei-coton,1,---,692.424778096027
calecon,0.1,ei-coton,1,---,1324.4086189092734
calecon,0.12,ei-coton,1,---,1577.167213516255
calecon,0.19,ei-coton-organic,1,---,1977.849160003234
calecon,0.19,ei-coton-organic,1,---,1977.849160003234
calecon,0.2,ei-coton-organic,1,---,2078.749290670876
calecon,0.06,ei-coton-organic,1,---,665.9290755844194
calecon,0.06,ei-coton-organic,1,---,665.9290755844194
calecon,0.17,ei-coton-organic,1,---,1776.0052215200556
calecon,0.17,ei-coton-organic,1,---,1776.0052215200556
calecon,0.19,ei-coton-organic,1,---,1977.849160003234
calecon,0.11,ei-coton-organic,1,---,1170.517083218417
calecon,0.2,ei-coton-organic,1,---,2078.749290670876
calecon,0.11,elasthane,1,---,1229.6282113004
calecon,0.03,elasthane,1,---,379.3062231832317
calecon,0.19,elasthane,1,---,2079.9501994175685
calecon,0.07,elasthane,1,---,804.4453786678678
calecon,0.15,elasthane,1,---,1654.7673667850358
calecon,0.12,elasthane,1,---,1335.9020808845848
calecon,0.02,elasthane,1,---,273.0323535990468
calecon,0.16,elasthane,1,---,1761.084913517117
calecon,0.05,elasthane,1,---,591.8976394994979
calecon,0.02,elasthane,1,---,273.0323535990468
calecon,0.11,ei-acrylique,1,---,1092.6123047765204
calecon,0.08,ei-acrylique,1,---,811.1149933825819
calecon,0.18,ei-acrylique,1,---,1749.4248056464114
calecon,0.11,ei-acrylique,1,---,1092.6123047765204
calecon,0.2,ei-acrylique,1,---,1937.104238958336
calecon,0.04,ei-acrylique,1,---,435.7561267587333
calecon,0.2,ei-acrylique,1,---,1937.104238958336
calecon,0.07,ei-acrylique,1,---,717.2534381526717
calecon,0.09,ei-acrylique,1,---,904.932871464596
calecon,0.03,ei-acrylique,1,---,341.9382486767192
calecon,0.19,ei-jute-kenaf,1,---,2100.7935660172634
calecon,0.11,ei-jute-kenaf,1,---,1241.6954235423286
calecon,0.02,ei-jute-kenaf,1,---,275.2263921884883
calecon,0.19,ei-jute-kenaf,1,---,2100.7935660172634
calecon,0.05,ei-jute-kenaf,1,---,597.3827359731018
calecon,0.2,ei-jute-kenaf,1,---,2208.164454896169
calecon,0.06,ei-jute-kenaf,1,---,704.7536248520075
calecon,0.18,ei-jute-kenaf,1,---,1993.3789999904611
calecon,0.12,ei-jute-kenaf,1,---,1349.0663124212344
calecon,0.06,ei-jute-kenaf,1,---,704.7536248520075
calecon,0.1,ei-laine-par-defaut,1,---,1632.1033327470964
calecon,0.02,ei-laine-par-defaut,1,---,374.782151805223
calecon,0.09,ei-laine-par-defaut,1,---,1474.910886911927
calecon,0.13,ei-laine-par-defaut,1,---,2103.5933159568112
calecon,0.16,ei-laine-par-defaut,1,---,2575.083299166526
calecon,0.06,ei-laine-par-defaut,1,---,1003.4209037022111
calecon,0.14,ei-laine-par-defaut,1,---,2260.742084644085
calecon,0.19,ei-laine-par-defaut,1,---,3046.5732823762423
calecon,0.15,ei-laine-par-defaut,1,---,2417.890853331357
calecon,0.2,ei-laine-par-defaut,1,---,3203.722051063516
calecon,0.07,ei-laine-nouvelle-filiere,1,---,753.7457691420452
calecon,0.14,ei-laine-nouvelle-filiere,1,---,1447.0942781492058
calecon,0.03,ei-laine-nouvelle-filiere,1,---,357.5778191007363
calecon,0.11,ei-laine-nouvelle-filiere,1,---,1149.95739633125
calecon,0.2,ei-laine-nouvelle-filiere,1,---,2041.368041785117
calecon,0.02,ei-laine-nouvelle-filiere,1,---,258.54675087738315
calecon,0.16,ei-laine-nouvelle-filiere,1,---,1645.200091743808
calecon,0.04,ei-laine-nouvelle-filiere,1,---,456.6088873240896
calecon,0.06,ei-laine-nouvelle-filiere,1,---,654.714700918692
calecon,0.07,ei-laine-nouvelle-filiere,1,---,753.7457691420452
calecon,0.06,ei-lin,1,---,592.3043342902175
calecon,0.15,ei-lin,1,---,1390.0994298013727
calecon,0.08,ei-lin,1,---,769.6066923419951
calecon,0.19,ei-lin,1,---,1744.7041459049285
calecon,0.09,ei-lin,1,---,858.2360327939358
calecon,0.17,ei-lin,1,---,1567.4017878531502
calecon,0.09,ei-lin,1,---,858.2360327939358
calecon,0.08,ei-lin,1,---,769.6066923419951
calecon,0.19,ei-lin,1,---,1744.7041459049285
calecon,0.1,ei-lin,1,---,946.9090503937728
calecon,0.15,ei-pa,1,---,1457.6157182307147
calecon,0.09,ei-pa,1,---,898.7458058515411
calecon,0.12,ei-pa,1,---,1178.180762041128
calecon,0.17,ei-pa,1,---,1643.9202480730714
calecon,0.18,ei-pa,1,---,1737.0506744203014
calecon,0.19,ei-pa,1,---,1830.224777915428
calecon,0.17,ei-pa,1,---,1643.9202480730714
calecon,0.11,ei-pa,1,---,1085.0503356938978
calecon,0.11,ei-pa,1,---,1085.0503356938978
calecon,0.03,ei-pa,1,---,339.8758934723675
calecon,0.16,ei-pp,1,---,1434.687946620986
calecon,0.17,ei-pp,1,---,1520.5620057741626
calecon,0.19,ei-pp,1,---,1692.3538012284123
calecon,0.03,ei-pp,1,---,318.10679189020715
calecon,0.13,ei-pp,1,---,1177.0220920135591
calecon,0.1,ei-pp,1,---,919.356237406133
calecon,0.05,ei-pp,1,---,489.89858734445687
calecon,0.2,ei-pp,1,---,1778.2278603815894
calecon,0.05,ei-pp,1,---,489.89858734445687
calecon,0.03,ei-pp,1,---,318.10679189020715
calecon,0.04,ei-pet,1,---,416.2514509664713
